filer,name,ticker,date,type,current_shares,current_value,previous_shares,previous_value,current_percent,previous_percent,rank,previous_rank,change_in_shares,change_type,sector
BLUECREST CAPITAL MANAGEMENT LLP,NDS Group Plc Ads,NNDS,3/31/06,SH,563148,29301000,563148,23174000,5.5486,2.3678,4,5,0,,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Morgan Stanley,MS,3/31/06,SH,459000,28834000,459000,26044000,5.4602,2.661,5,3,0,,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Tenaris SA ADS,TS,3/31/06,SH,638885,24860000,333500,7637000,4.7077,0.7803,6,26,91.5697,addition,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Great Atlantic & Pacific Tea Co. of America (The),GAPTQ,3/31/06,SH,678034,23684000,678034,21548000,4.485,2.2016,7,6,0,,CONSUMER STAPLES
BLUECREST CAPITAL MANAGEMENT LLP,Fomento Economico Mexicano S.A.B. ADS,FMX,3/31/06,SH,765225,23380000,238200,5757000,4.4274,0.5882,8,27,221.2531,addition,CONSUMER STAPLES
BLUECREST CAPITAL MANAGEMENT LLP,Denbury Resources Inc.,DNR,3/31/06,SH,1356690,23182000,0,0,4.3899,,9,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Valero Energy Corp.,VLO,3/31/06,SH,362000,21640000,0,0,4.0979,,10,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Procter & Gamble Co. (New) (1905),PG,3/31/06,SH,375000,21611000,0,0,4.0924,,11,999999,,new,CONSUMER STAPLES
BLUECREST CAPITAL MANAGEMENT LLP,Petroleo Brasileiro SA (Petrobras) ADR,PBR,3/31/06,SH,959600,20792000,1308532,23315000,3.9373,2.3822,12,4,-26.6659,reduction,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Tenneco Inc. (New),TEN,3/31/06,SH,944900,20494000,0,0,3.8809,,13,999999,,new,CONSUMER DISCRETIONARY
BLUECREST CAPITAL MANAGEMENT LLP,"Grant Prideco, Inc.",GRP,3/31/06,SH,472000,20220000,0,0,3.829,,14,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Sprint Corp,S,3/31/06,SH,698000,18036000,698000,16305000,3.4154,1.6659,15,13,0,,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,LG Display Co,LPL,3/31/06,SH,629000,14278000,654000,14035000,2.7038,1.434,16,16,-3.8226,reduction,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,CME Group Inc,CME,3/31/06,SH,150000,13425000,150000,11025000,2.5422,1.1265,17,21,0,,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,BEA Systems Inc,BEAS,3/31/06,SH,980000,12867000,0,0,2.4366,,18,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Precision Drilling Corp. (New),PDS,3/31/06,SH,371000,11998000,371000,12243000,2.272,1.2509,19,19,0,,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Cemig-Companhia Energetica Minas Gerais ADR,CIG,3/31/06,SH,1467188,11386000,1785351,11231000,2.1561,1.1475,20,20,-17.8208,reduction,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Cognos Inc.,COGN,3/31/06,SH,271500,10561000,0,0,1.9999,,21,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,TIBCO Software Inc.,TIBX,3/31/06,SH,1194000,9982000,0,0,1.8903,,22,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,OpenTV Corp (BVI),OPTV,3/31/06,SH,1695000,4983000,0,0,0.9436,,23,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Copa Holdings SA Class A,CPA,3/31/06,SH,199400,4556000,200000,5460000,0.8628,0.5579,24,28,-0.3,reduction,TRANSPORTS
BLUECREST CAPITAL MANAGEMENT LLP,webMethods Inc,WEBM,3/31/06,SH,429100,3613000,0,0,0.6842,,25,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,SonicWall Inc.,SNWL,3/31/06,SH,440000,3120000,0,0,0.5908,,26,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Telecom Argentina S.A.,TEO,3/31/06,SH,176000,2383000,80000,1031000,0.4513,0.1053,27,37,120,addition,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,CEMEX S.A. de C.V. Series A (Sponsored ADR),CX,3/31/06,SH,81422,2272000,0,0,0.4302,,28,999999,,new,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Companhia Vale de Rio Doce S.A. ADR,VALE,3/31/06,CALL,44900,2179000,0,0,0.4126,,29,999999,,new,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Cresud S.A.C.I.F. y A. (ADR),CRESY,3/31/06,SH,271845,2176000,168321,1232000,0.4121,0.1259,30,34,61.5039,addition,CONSUMER STAPLES
BLUECREST CAPITAL MANAGEMENT LLP,Netease Inc ADR,NTES,3/31/06,SH,67600,1659000,0,0,0.3142,,31,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,PetroChina Co Ltd ADR,PTR,3/31/06,SH,14900,1554000,0,0,0.2943,,32,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Focus Media Holdings Inc,FMCN,3/31/06,SH,51876,1505000,56000,946000,0.285,0.0967,33,38,-7.3643,reduction,CONSUMER DISCRETIONARY
BLUECREST CAPITAL MANAGEMENT LLP,CPFL Energia SA ADS,CPL,3/31/06,SH,99300,1390000,184500,2143000,0.2632,0.219,34,30,-46.1789,reduction,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Aracruz Celulose S.A. ADR,ARA,3/31/06,SH,26000,1376000,26500,1060000,0.2606,0.1083,35,36,-1.8868,reduction,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Companhia de Saneamento Basico do Estado de Sao Paulo-SABESP ADS,SBS,3/31/06,SH,301500,1106000,780000,2193000,0.2094,0.2241,36,29,-61.3462,reduction,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Infosys Ltd ADR,INFY,3/31/06,SH,27200,1059000,0,0,0.2005,,37,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,United Microelectronics Corp.,UMC,3/31/06,SH,290000,995000,0,0,0.1884,,38,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Tam S.A.,TAM,3/31/06,SH,52000,980000,0,0,0.1856,,39,999999,,new,TRANSPORTS
BLUECREST CAPITAL MANAGEMENT LLP,Mechel OAO,MTL,3/31/06,SH,114000,977000,0,0,0.185,,40,999999,,new,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,TIM Participacoes S.A. ADR,TSU,3/31/06,SH,25000,936000,0,0,0.1772,,41,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Tele Celular Norte Leste SA ADS,TNE,3/31/06,SH,55000,917000,0,0,0.1736,,42,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,BBVA Banco Frances S.A.,BFR,3/31/06,SH,100000,790000,30000,214000,0.1496,0.0219,43,49,233.3333,addition,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Petrobras Argentina S.A.,PZE,3/31/06,SH,103400,582000,100000,617000,0.1102,0.063,44,44,3.4,addition,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Itau Unibnco ADR,ITUB,3/31/06,SH,43560,429000,0,0,0.0812,,45,999999,,new,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Nova Chemicals Corp.,NCX,3/31/06,SH,0,0,431447,14410000,,1.4723,999999,14,-100,soldall,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,BanColombia Ads,CIB,3/31/06,SH,0,0,32100,931000,,0.0951,999999,39,-100,soldall,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Viacom Inc. (New) Class B,VIAB,3/31/06,SH,0,0,398931,16416000,,1.6773,999999,12,-100,soldall,CONSUMER DISCRETIONARY
BLUECREST CAPITAL MANAGEMENT LLP,Grupo Finan Galicia SA ADS,GGAL,3/31/06,SH,0,0,125000,864000,,0.0883,999999,40,-100,soldall,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,SUNTECH POWER HOLDINGS CO LTD,STPFQ,3/31/06,SH,0,0,20000,545000000,,55.6844,999999,1,-100,soldall,INDUSTRIALS
BLUECREST CAPITAL MANAGEMENT LLP,Turkcell Iletisim Hizmetleri AS,TKC,3/31/06,SH,0,0,504688,1459000,,0.1491,999999,32,-100,soldall,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Ciena Corp,CIEN,3/31/06,SH,0,0,983417,20445000,,2.0889,999999,7,-100,soldall,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Companhia Siderurgica Nacional ADR,SID,3/31/06,SH,0,0,53000,567000,,0.0579,999999,45,-100,soldall,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Sohu.com Inc,SOHU,3/31/06,SH,0,0,29500,541000,,0.0553,999999,46,-100,soldall,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Wthrfrd Intl Plc,WFT,3/31/06,SH,0,0,758008,13720000,,1.4018,999999,17,-100,soldall,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Telemig Celular SA ADS,TMB,3/31/06,SH,0,0,35000,1379000,,0.1409,999999,33,-100,soldall,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Banco Bradesco S.A. ADR,BBD,3/31/06,SH,0,0,54780,484000,,0.0495,999999,47,-100,soldall,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Transocean Ltd,RIG,3/31/06,SH,0,0,281267,19601000,,2.0027,999999,8,-100,soldall,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Expedia Inc. (New),EXPE,3/31/06,SH,0,0,14500,695000,,0.071,999999,42,-100,soldall,CONSUMER DISCRETIONARY
BLUECREST CAPITAL MANAGEMENT LLP,Braskem S.A.,BAK,3/31/06,SH,0,0,29000,470000,,0.048,999999,48,-100,soldall,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Compania de Minas Buenaventura S.A.,BVN,3/31/06,SH,0,0,55000,778000,,0.0795,999999,41,-100,soldall,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Pride  International Inc.,PDE,3/31/06,SH,0,0,634131,19500000,,1.9924,999999,9,-100,soldall,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Companhia Vale de Rio Doce S.A. ADR,VALE,3/31/06,SH,0,0,50000,2057000,,0.2102,999999,31,-100,soldall,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,ArcelorMittal S.A. (New) Sponsored ADR,MT,3/31/06,SH,0,0,470755,12395000,,1.2664,999999,18,-100,soldall,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Accenture Plc Class A ADR,ACN,3/31/06,SH,0,0,1161944,33545000,,3.4274,999999,2,-100,soldall,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,CBS Corp. (DE) Class B,CBS,3/31/06,SH,0,0,398931,10173000,,1.0394,999999,22,-100,soldall,CONSUMER DISCRETIONARY
BLUECREST CAPITAL MANAGEMENT LLP,Telefonica Brasil S.A. ADR,VIV,3/31/06,SH,0,0,31200,638000,,0.0652,999999,43,-100,soldall,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,AU Optronics Corp. ADS,AUO,3/31/06,SH,0,0,976440,14229000,,1.4538,999999,15,-100,soldall,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Ensco Plc ADR,ESV,3/31/06,SH,0,0,376569,16701000,,1.7064,999999,11,-100,soldall,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,"National Oilwell Varco, Inc.",NOV,3/31/06,SH,0,0,537640,16855000,,1.7221,999999,10,-100,soldall,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Tele Celular Centro Sul SA ADS,TRO,3/31/06,SH,0,0,100000,1122000,,0.1146,999999,35,-100,soldall,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,"Pfizer, Inc.",PFE,6/30/06,SH,3942235,92524000,1296400,57226000,9.2945,10.8367,1,1,204.0909,addition,HEALTH CARE
BLUECREST CAPITAL MANAGEMENT LLP,Bristol-Myers Squibb,BMY,6/30/06,SH,3065125,79264000,1328000,32682000,7.9624,6.1889,2,3,130.8076,addition,HEALTH CARE
BLUECREST CAPITAL MANAGEMENT LLP,Exxon Mobil Corp.,XOM,6/30/06,SH,705000,43252000,0,0,4.3449,,3,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,ALLTEL Corp.,AT,6/30/06,SH,677000,43213000,0,0,4.3409,,4,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Tenneco Inc. (New),TEN,6/30/06,SH,1623250,42205000,944900,20494000,4.2397,3.8809,5,13,71.7907,addition,CONSUMER DISCRETIONARY
BLUECREST CAPITAL MANAGEMENT LLP,Clear Channel Communications Inc.,CCU,6/30/06,SH,1340400,41485000,0,0,4.1674,,6,999999,,new,CONSUMER DISCRETIONARY
BLUECREST CAPITAL MANAGEMENT LLP,First Data Corp.,FDC,6/30/06,SH,846170,38111000,0,0,3.8284,,7,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,ArcelorMittal S.A. (New) Sponsored ADR,MT,6/30/06,SH,1244037,37956000,0,0,3.8129,,8,999999,,new,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,Microsoft Corp.,MSFT,6/30/06,SH,1535510,35777000,0,0,3.594,,9,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Transocean Ltd,RIG,6/30/06,SH,434867,34929000,0,0,3.5088,,10,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Quest Software Inc.,QSFT,6/30/06,SH,2437360,34123000,2161655,36100000,3.4278,6.8361,11,2,12.7543,addition,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Halliburton Co.,HAL,6/30/06,SH,896564,33267000,0,0,3.3418,,12,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Petroleo Brasileiro SA (Petrobras) ADR,PBR,6/30/06,SH,1448992,32352000,959600,20792000,3.2499,3.9373,13,12,50.9996,addition,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Mirant Corp. (New),MIR,6/30/06,SH,1100000,29480000,0,0,2.9614,,14,999999,,new,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Schlumberger Ltd.,SLB,6/30/06,SH,440500,28681000,0,0,2.8811,,15,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,"National Oilwell Varco, Inc.",NOV,6/30/06,SH,896000,28367000,0,0,2.8496,,16,999999,,new,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,BEA Systems Inc,BEAS,6/30/06,SH,2075940,27174000,980000,12867000,2.7298,2.4366,17,18,111.8306,addition,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,NDS Group Plc Ads,NNDS,6/30/06,SH,579621,26981000,563148,29301000,2.7104,5.5486,18,4,2.9252,addition,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Rite Aid Corp.,RAD,6/30/06,SH,6233000,26428000,0,0,2.6548,,19,999999,,new,CONSUMER STAPLES
BLUECREST CAPITAL MANAGEMENT LLP,iShares MSCI Emerging Markets Index Fund,EEM,6/30/06,SH,793500,24837000,0,0,2.495,,20,999999,,new,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Great Atlantic & Pacific Tea Co. of America (The),GAPTQ,6/30/06,SH,1064824,24193000,678034,23684000,2.4303,4.485,21,7,57.0458,addition,CONSUMER STAPLES
BLUECREST CAPITAL MANAGEMENT LLP,"Grant Prideco, Inc.",GRP,6/30/06,SH,540000,24165000,472000,20220000,2.4275,3.829,22,14,14.4068,addition,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Check Point Software Tech,CHKP,6/30/06,SH,1350000,23760000,0,0,2.3868,,23,999999,,new,INFORMATION TECHNOLOGY
BLUECREST CAPITAL MANAGEMENT LLP,Goldman Sachs Group,GS,6/30/06,SH,147964,22258000,0,0,2.2359,,24,999999,,new,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Sprint Corp,S,6/30/06,SH,1040615,20802000,698000,18036000,2.0897,3.4154,25,15,49.0852,addition,UTILITIES & TELECOMMUNICATIONS
BLUECREST CAPITAL MANAGEMENT LLP,Companhia Vale Do Rio Doce PRFD,RIO-P,6/30/06,SH,964400,19847000,0,0,1.9937,,26,999999,,new,UNKNOWN
BLUECREST CAPITAL MANAGEMENT LLP,Itau Unibnco ADR,ITUB,6/30/06,SH,1936000,18662000,43560,429000,1.8747,0.0812,27,45,4344.4444,addition,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,CME Group Inc,CME,6/30/06,SH,150000,14735000,150000,13425000,1.4802,2.5422,28,17,0,,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,Unibanco-Uniao De Bancos Brasileros,UBB,6/30/06,SH,75900,5039000,0,0,0.5062,,29,999999,,new,FINANCE
BLUECREST CAPITAL MANAGEMENT LLP,CEMEX S.A. de C.V. Series A (Sponsored ADR),CX,6/30/06,SH,206350,5024000,81422,2272000,0.5047,0.4302,30,28,153.4327,addition,MATERIALS
BLUECREST CAPITAL MANAGEMENT LLP,PetroChina Co Ltd ADR,PTR,6/30/06,SH,39150,4227000,14900,1554000,0.4246,0.2943,31,32,162.7517,addition,ENERGY
BLUECREST CAPITAL MANAGEMENT LLP,Companhia Vale de Rio Doce S.A. ADR,VALE,6/30/06,SH,132300,3180000,0,0,0.3194,,32,999999,,new,MATERIALS
