ticker,fund_sector
FRX,Health Care
FSL,Technology
FSM,Basic Industries
FSS,Capital Goods
FST,Energy
FTI,Energy
FTK,Basic Industries
FUL,Basic Industries
FUN,Consumer Services
FUR,Consumer Services
FVE,Health Care
FXCM,Finance
G,Consumer Services
GA,Miscellaneous
GAS,Public Utilities
GB,Energy
GBL,Finance
GBX,Capital Goods
GCA,Finance
GCAP,Finance
GCI,Consumer Services
GCO,Consumer Services
GD,Capital Goods
GDOT,Finance
GDP,Energy
GE,Energy
GEB,Finance
GEF,Consumer Durables
GEL,Energy
GEO,Consumer Services
GES,Consumer Non-Durables
GFA,Basic Industries
GFF,Capital Goods
GFI,Basic Industries
GFIG,Finance
GG,Basic Industries
GGB,Capital Goods
GGG,Capital Goods
GGP,Consumer Services
GGS,Energy
GHL,Finance
GIB,Consumer Services
GIL,Consumer Non-Durables
GIS,Consumer Non-Durables
GJH,Finance
GJK,Finance
GJO,Finance
GJS,Finance
GJT,Finance
GJV,Finance
GKM,Finance
GLF,Energy
GLOG,Consumer Services
GLP,Energy
GLT,Basic Industries
GLW,Basic Industries
GM,Capital Goods
GME,Consumer Services
GMED,Health Care
GMK,Consumer Non-Durables
GMT,Consumer Services
GNC,Consumer Non-Durables
GNE,Public Utilities
GNI,Basic Industries
GNK,Transportation
GNRC,Consumer Durables
GNW,Finance
GOL,Transportation
GOM,Finance
GOV,Finance
GPC,Capital Goods
GPI,Consumer Durables
GPK,Consumer Durables
GPN,Miscellaneous
GPS,Consumer Services
GPX,Consumer Services
GRA,Basic Industries
GRO,Consumer Non-Durables
GRT,Consumer Services
GS,Finance
GSE,Capital Goods
GSF,Finance
GSH,Transportation
GSI,Capital Goods
GSJ,Finance
GSK,Health Care
GSL,Transportation
GT,Consumer Durables
GTI,Energy
GTN,Consumer Services
GTS,Finance
GTY,Finance
GUA,Public Utilities
GVA,Basic Industries
GWAY,Technology
GWR,Transportation
GWRE,Technology
GWRU,Transportation
GWW,Consumer Services
GXP,Public Utilities
GY,Basic Industries
GYB,Finance
GYC,Finance
GZT,Finance
H,Consumer Services
HAE,Health Care
HAL,Energy
HAR,Consumer Non-Durables
HSBC,Finance
HBI,Consumer Services
HBM,Basic Industries
HCA,Health Care
HCC,Finance
HCI,Finance
HCLP,Basic Industries
HCN,Consumer Services
HCP,Consumer Services
HSEA,Finance
HD,Consumer Services
HDB,Finance
HDY,Energy
HE,Public Utilities
HEI,Capital Goods
HEP,Energy
HES,Energy
HF,Consumer Services
HFC,Energy
HGG,Consumer Services
HGH,Finance
HGR,Health Care
HGT,Energy
HHC,Consumer Services
HHS,Technology
HI,Consumer Durables
HIG,Finance
HII,Capital Goods
HIL,Consumer Services
HIW,Consumer Services
HJJ,Finance
HJN,Finance
HJR,Finance
HJV,Finance
HK,Energy
HL,Basic Industries
HLF,Health Care
HLS,Health Care
HLX,Energy
HMA,Health Care
HMC,Capital Goods
HME,Consumer Services
HMN,Finance
HMY,Basic Industries
HNI,Consumer Durables
HNP,Public Utilities
HNR,Energy
HNT,Health Care
HOG,Consumer Non-Durables
HON,Capital Goods
HOS,Consumer Services
HOT,Consumer Services
HOV,Capital Goods
HOVU,Capital Goods
HP,Energy
HPP,Finance
HPQ,Technology
HPT,Consumer Services
HPY,Miscellaneous
HR,Consumer Services
HRB,Consumer Services
HRC,Health Care
HRG,Energy
HRL,Consumer Non-Durables
HRS,Capital Goods
HSC,Capital Goods
HSH,Consumer Non-Durables
HSP,Health Care
HST,Consumer Services
HSY,Consumer Non-Durables
HT,Consumer Services
HTA,Consumer Services
HTH,Finance
HTS,Consumer Services
HTSI,Consumer Services
HTZ,Consumer Services
HUM,Health Care
HUN,Basic Industries
HVB,Finance
HVT,Consumer Services
HW,Capital Goods
HXL,Basic Industries
HXM,Basic Industries
HY,Capital Goods
HYL,Finance
HZO,Consumer Services
IAG,Basic Industries
IBA,Consumer Non-Durables
IBM,Technology
IBN,Finance
ICA,Basic Industries
ICE,Finance
IDA,Public Utilities
IDG,Finance
IDT,Public Utilities
IEX,Capital Goods
IFF,Basic Industries
IFT,Finance
IGK,Finance
IGT,Consumer Durables
IHC,Finance
IHS,Technology
IL,Technology
IM,Technology
IMAX,Miscellaneous
IMN,Technology
IMPV,Technology
IND,Finance
ING,Finance
INGR,Consumer Non-Durables
INN,Consumer Services
INT,Energy
INVN,Technology
INXN,Technology
INZ,Finance
IO,Energy
IOC,Energy
IP,Basic Industries
IPG,Technology
IPHI,Technology
IPI,Basic Industries
IR,Capital Goods
IRC,Consumer Services
IRE,Finance
IRF,Technology
IRM,Consumer Services
IRS,Consumer Services
ISF,Finance
ISG,Finance
ISH,Transportation
ISP,Finance
ISS,Technology
IT,Consumer Services
ITC,Public Utilities
ITG,Finance
ITT,Capital Goods
ITUB,Finance
ITW,Technology
IVC,Health Care
IVR,Consumer Services
IVZ,Finance
IX,Finance
JAH,Consumer Durables
JBI,Finance
JBJ,Finance
JBK,Finance
JBL,Technology
JBN,Finance
JBO,Finance
JBR,Finance
JBT,Technology
JCI,Consumer Durables
JCP,Consumer Services
JE,Public Utilities
JEC,Basic Industries
JHX,Capital Goods
JKS,Technology
JLL,Finance
JMI,Consumer Services
JMP,Finance
JNJ,Health Care
JNPR,Technology
JNS,Finance
JNY,Consumer Non-Durables
JOE,Consumer Services
JOY,Energy
JPM,Finance
JRN,Consumer Services
JWN,Consumer Services
JZC,Finance
JZJ,Finance
JZK,Finance
JZL,Finance
JZT,Finance
JZV,Finance
K,Consumer Non-Durables
KAI,Technology
KAMN,Consumer Durables
KAR,Consumer Durables
KB,Finance
KBH,Capital Goods
KBR,Basic Industries
KCC,Finance
KCG,Finance
KEG,Energy
KEM,Capital Goods
KEP,Public Utilities
KEX,Consumer Services
KEY,Finance
KFH,Finance
KFI,Finance
KFN,Finance
KFS,Finance
KFY,Technology
KGC,Basic Industries
KHI,Consumer Services
KID,Consumer Durables
KIM,Consumer Services
KKD,Consumer Non-Durables
KKR,Finance
KMB,Consumer Durables
KMG,Basic Industries
KMI,Public Utilities
KMP,Public Utilities
KMPR,Finance
KMR,Energy
KMT,Capital Goods
KMX,Consumer Durables
KND,Health Care
KNL,Consumer Durables
KNM,Technology
KNX,Transportation
KO,Consumer Non-Durables
KOF,Consumer Non-Durables
KOG,Energy
KOP,Basic Industries
KORS,Consumer Non-Durables
KOS,Energy
KR,Consumer Services
KRA,Basic Industries
KRC,Consumer Services
KRG,Consumer Services
KRO,Basic Industries
KS,Basic Industries
KSS,Consumer Services
KSU,Transportation
KT,Public Utilities
KTH,Finance
KTN,Finance
KTP,Finance
KW,Finance
KWK,Energy
KWR,Basic Industries
KYO,Technology
L,Finance
LAD,Consumer Durables
LAS,Consumer Durables
LAZ,Finance
LCC,Transportation
LDK,Technology
LDL,Capital Goods
LDR,Capital Goods
LEA,Capital Goods
LEE,Consumer Services
LEG,Consumer Durables
LEN,Basic Industries
LF,Consumer Non-Durables
LFC,Finance
LFL,Transportation
LG,Public Utilities
LGF,Consumer Services
LGP,Energy
LH,Health Care
LHO,Consumer Services
LII,Capital Goods
LL,Consumer Services
LLL,Technology
LLY,Health Care
LM,Finance
LMT,Capital Goods
LNC,Finance
LND,Consumer Non-Durables
LNKD,Technology
LNN,Capital Goods
LNT,Public Utilities
LO,Consumer Non-Durables
LOCK,Technology
LOW,Consumer Services
LPI,Energy
LPL,Capital Goods
LPS,Miscellaneous
LPX,Basic Industries
LRE,Energy
LRN,Consumer Services
LRY,Consumer Services
LSE,Consumer Services
LSI,Technology
LTC,Consumer Services
LB,Consumer Services
LTM,Consumer Services
LUB,Consumer Services
LUK,Consumer Non-Durables
LUV,Transportation
LUX,Health Care
LVLT,Public Utilities
LVS,Consumer Services
LXFR,Basic Industries
LXK,Technology
LXP,Consumer Services
LXU,Basic Industries
LYB,Basic Industries
LYG,Finance
LYV,Consumer Services
LZB,Consumer Durables
M,Consumer Services
MA,Miscellaneous
MAA,Consumer Services
MAC,Consumer Services
MAN,Technology
MANU,Consumer Services
MAR,Consumer Services
MAS,Basic Industries
MATX,Consumer Services
MBI,Finance
MBT,Public Utilities
MCD,Consumer Services
MCK,Health Care
MCO,Finance
MCP,Basic Industries
MCS,Consumer Services
MCY,Finance
MD,Health Care
MDC,Capital Goods
MDP,Consumer Services
MDR,Capital Goods
MDT,Health Care
MDU,Basic Industries
MED,Consumer Non-Durables
MEG,Consumer Services
MEI,Capital Goods
MET,Finance
MFA,Consumer Services
MFC,Finance
MFG,Finance
MFO,Consumer Services
MG,Consumer Services
MGA,Capital Goods
MGI,Miscellaneous
MGM,Consumer Services
MGR,Finance
MHK,Consumer Durables
MHNA,Finance
MHNB,Finance
MHO,Capital Goods
MHR,Energy
MIC,Energy
MIG,Finance
MIL,Finance
MILL,Energy
MJN,Consumer Non-Durables
MKC,Consumer Non-Durables
MKL,Finance
MLG,Finance
MLI,Capital Goods
MLM,Basic Industries
MLP,Finance
MLR,Capital Goods
MLU,Finance
MM,Technology
MMC,Finance
MMM,Health Care
MMP,Energy
MMS,Miscellaneous
MN,Finance
MNI,Consumer Services
MNR,Consumer Services
MO,Consumer Non-Durables
MOD,Capital Goods
MOH,Health Care
MON,Basic Industries
MOS,Basic Industries
MOV,Consumer Non-Durables
MPC,Energy
MPLX,Energy
MPO,Energy
MPW,Consumer Services
MPX,Capital Goods
MR,Health Care
MRC,Capital Goods
MRH,Finance
MRK,Health Care
MRO,Energy
MS,Finance
MSA,Health Care
MSB,Basic Industries
MSCI,Miscellaneous
MSI,Technology
MSJ,Finance
MSM,Capital Goods
MSO,Consumer Services
MSZ,Finance
MT,Basic Industries
MTB,Finance
MTD,Capital Goods
MTDR,Energy
MTG,Finance
MTH,Capital Goods
MTL,Basic Industries
MTN,Consumer Services
MTOR,Capital Goods
MTR,Energy
MTRN,Capital Goods
MTU,Finance
MTW,Capital Goods
MTX,Basic Industries
MTZ,Basic Industries
MUR,Energy
MUSA,Consumer Durables
MUX,Basic Industries
MVO,Energy
MW,Consumer Services
MWA,Capital Goods
MWE,Energy
MWG,Finance
MWO,Finance
MWR,Finance
MWV,Basic Industries
MWW,Technology
MX,Technology
MXL,Technology
MXT,Public Utilities
MY,Energy
MYE,Consumer Non-Durables
N,Technology
NAT,Consumer Services
NAV,Capital Goods
NBG,Finance
NBHC,Finance
NBL,Energy
NBR,Energy
NC,Capital Goods
NCI,Consumer Services
NCR,Miscellaneous
NCS,Capital Goods
NCT,Consumer Services
NDRO,Energy
NDZ,Capital Goods
NE,Energy
NED,Technology
NEE,Public Utilities
NEM,Basic Industries
NEU,Basic Industries
NFG,Public Utilities
NFJ,Finance
NFX,Energy
NGG,Public Utilities
NGL,Consumer Services
NGLS,Public Utilities
NGS,Energy
NGVC,Consumer Services
NHI,Consumer Services
NI,Public Utilities
NJ,Consumer Durables
NJR,Public Utilities
NKA,Public Utilities
NKE,Consumer Non-Durables
NL,Basic Industries
NLS,Consumer Non-Durables
NLSN,Miscellaneous
NLY,Consumer Services
NM,Transportation
NMM,Transportation
NMR,Finance
NNA,Transportation
NNI,Finance
NNN,Consumer Services
NOA,Energy
NOAH,Finance
NOC,Capital Goods
NOK,Technology
NOR,Basic Industries
NOV,Energy
NOW,Technology
NP,Basic Industries
NPD,Health Care
NPK,Capital Goods
NPO,Basic Industries
NPTN,Technology
NQ,Technology
NR,Energy
NRF,Consumer Services
NRG,Public Utilities
NRP,Energy
NRT,Energy
NS,Energy
NSC,Transportation
NSH,Energy
NSM,Finance
NSP,Technology
NSR,Consumer Services
NTE,Capital Goods
NTI,Energy
NTL,Public Utilities
NTT,Public Utilities
NTZ,Consumer Durables
NU,Public Utilities
NUE,Basic Industries
NUS,Health Care
NVE,Public Utilities
NVO,Health Care
NVR,Capital Goods
NVS,Health Care
NWE,Public Utilities
NWL,Consumer Non-Durables
NWN,Public Utilities
NWY,Consumer Services
NX,Capital Goods
NYCB,Finance
NYT,Consumer Services
NYX,Finance
O,Consumer Services
OAK,Finance
OAS,Energy
OB,Finance
OC,Capital Goods
OCN,Finance
OCR,Health Care
ODC,Consumer Durables
ODP,Consumer Services
OEH,Consumer Services
OFC,Consumer Services
OFG,Finance
OGE,Public Utilities
OHI,Consumer Services
OI,Consumer Durables
OIBR,Public Utilities
OII,Energy
OILT,Energy
OIS,Energy
OKE,Public Utilities
OKS,Public Utilities
OLN,Basic Industries
OLP,Consumer Services
OMC,Technology
OME,Consumer Non-Durables
OMG,Basic Industries
OMI,Health Care
OMN,Basic Industries
OMX,Consumer Services
ONB,Finance
ONE,Miscellaneous
OPK,Health Care
OPY,Finance
ORA,Public Utilities
ORB,Technology
ORI,Finance
ORN,Basic Industries
OSK,Capital Goods
OWW,Consumer Services
OXF,Energy
OXM,Consumer Non-Durables
OXY,Energy
OZM,Finance
P,Consumer Services
PAA,Energy
PAC,Transportation
PACD,Energy
PAG,Consumer Durables
PAM,Public Utilities
PANW,Technology
PAR,Miscellaneous
PAY,Miscellaneous
PB,Finance
PBA,Energy
PBH,Health Care
PBI,Miscellaneous
PBNY,Finance
PBR,Energy
PBT,Energy
PBY,Consumer Services
PBYI,Health Care
PCG,Public Utilities
PCL,Consumer Services
PCP,Basic Industries
PDH,Basic Industries
PDM,Consumer Services
PDS,Energy
PEB,Consumer Services
PEG,Public Utilities
