filer,name,ticker,date,type,current_shares,current_value,previous_shares,previous_value,current_percent,previous_percent,rank,previous_rank,change_in_shares,change_type,sector
CQS CAYMAN LP,EMC Corp.,EMC,3/31/08,PRN,25000,29357000,0,0,1.9835,,20,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Weingarten Realty Investors,WRI,3/31/08,PRN,28500,27250000,0,0,1.8411,,21,999999,,new,FINANCE
CQS CAYMAN LP,Kendle International Inc.,KNDL,3/31/08,PRN,23000,26684000,0,0,1.8029,,22,999999,,new,HEALTH CARE
CQS CAYMAN LP,"General Motors Corp., 6.25% Series C Convertible Senior Debentures due 7/15/2033",GPM,3/31/08,SH,58000,24092000,0,0,1.6277,,23,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,UDR Inc.,UDR,3/31/08,PRN,24500,23999000,0,0,1.6215,,24,999999,,new,FINANCE
CQS CAYMAN LP,CAL DIVE INTERNATIONAL INC COM,CDVI,3/31/08,PRN,19500,23877000,0,0,1.6132,,25,999999,,new,ENERGY
CQS CAYMAN LP,Comcast Corp. (New) Special Class A,CMCSK,3/31/08,SH,1248949,23693000,0,0,1.6008,,26,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Qwest Communications International, Inc.",Q,3/31/08,PRN,22500,23101000,0,0,1.5608,,27,999999,,new,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,"BRE Properties, Inc.",BRE,3/31/08,PRN,22500,20966000,0,0,1.4165,,28,999999,,new,FINANCE
CQS CAYMAN LP,"National Retail Properties, Inc.",NNN,3/31/08,PRN,19000,19255000,0,0,1.3009,,29,999999,,new,FINANCE
CQS CAYMAN LP,"Liberty Global Inc., Series C",LBTYK,3/31/08,SH,980078,15916000,0,0,1.0753,,30,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Liberty Media Group, Inc. Class B",LMC.B,3/31/08,PRN,15000,14948000,0,0,1.0099,,31,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,TW TELECOM INC CL A COM,TWTC,3/31/08,PRN,13500,13995000,0,0,0.9455,,32,999999,,new,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,Cephalon Inc.,CEPH,3/31/08,PRN,8772,13197000,0,0,0.8916,,33,999999,,new,HEALTH CARE
CQS CAYMAN LP,"Enzon Pharmaceuticals, Inc",ENZN,3/31/08,PRN,11000,12454000,0,0,0.8414,,34,999999,,new,HEALTH CARE
CQS CAYMAN LP,Rayonier Inc. (New),RYN,3/31/08,PRN,18000,12280000,0,0,0.8297,,35,999999,,new,FINANCE
CQS CAYMAN LP,"Micron Technology, Inc.",MU,3/31/08,PRN,16500,12141000,0,0,0.8203,,36,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,"Essex Property Trust, Inc.",ESS,3/31/08,PRN,10000,11758000,0,0,0.7944,,37,999999,,new,FINANCE
CQS CAYMAN LP,Reckson Associates Realty Corp. Class B,RA,3/31/08,PRN,12500,11614000,0,0,0.7847,,38,999999,,new,FINANCE
CQS CAYMAN LP,Washington Real Estate Investment Trust,WRE,3/31/08,PRN,12000,11210000,0,0,0.7574,,39,999999,,new,FINANCE
CQS CAYMAN LP,Global Industries Ltd,GLBL,3/31/08,PRN,14450,11181000,0,0,0.7554,,40,999999,,new,ENERGY
CQS CAYMAN LP,S&P Select Sector SPDR Fund - Financial Sector,XLF,3/31/08,SH,447300,11115000,0,0,0.751,,41,999999,,new,FINANCE
CQS CAYMAN LP,Loews Corp,L,3/31/08,SH,246277,9905000,0,0,0.6692,,42,999999,,new,FINANCE
CQS CAYMAN LP,Liberty Entertainment Group,LMDIA,3/31/08,SH,421725,9548000,0,0,0.6451,,43,999999,,new,SERVICES
CQS CAYMAN LP,"Kinder Morgan Management, LLC",KMR,3/31/08,SH,186682,9515000,0,0,0.6429,,44,999999,,new,ENERGY
CQS CAYMAN LP,"Tanger Factory Outlet Centers, Inc.",SKT,3/31/08,PRN,14500,8374000,0,0,0.5658,,45,999999,,new,FINANCE
CQS CAYMAN LP,Equity Residential Properties Trust,EQR,3/31/08,PRN,7500,7215000,0,0,0.4875,,46,999999,,new,FINANCE
CQS CAYMAN LP,"Group 1 Automotive, Inc.",GPI,3/31/08,PRN,9000,5853000,0,0,0.3954,,47,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Imclone Systems, Inc.",IMCL,3/31/08,PRN,6000,5697000,0,0,0.3849,,48,999999,,new,HEALTH CARE
CQS CAYMAN LP,L-3 Communications Holdings,LLL,3/31/08,SH,50600,5533000,0,0,0.3738,,49,999999,,new,INDUSTRIALS
CQS CAYMAN LP,Medtronic Inc.,MDT,3/31/08,PRN,5000,5263000,0,0,0.3556,,50,999999,,new,HEALTH CARE
CQS CAYMAN LP,SonoSite Inc.,SONO,3/31/08,PRN,5000,5025000,0,0,0.3395,,51,999999,,new,HEALTH CARE
CQS CAYMAN LP,Molson Coors Brewing Company,TAP,3/31/08,SH,89100,4684000,0,0,0.3165,,52,999999,,new,CONSUMER STAPLES
CQS CAYMAN LP,Genzyme Corp.,GENZ,3/31/08,SH,57500,4286000,0,0,0.2896,,53,999999,,new,HEALTH CARE
CQS CAYMAN LP,Amazon.com Inc.,AMZN,3/31/08,PRN,3750,3961000,0,0,0.2676,,54,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Lithia Motors Inc, Class A",LAD,3/31/08,PRN,4709,3925000,0,0,0.2652,,55,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Allied Waste Industries, Inc.",AW,3/31/08,PRN,3750,3451000,0,0,0.2332,,56,999999,,new,INDUSTRIALS
CQS CAYMAN LP,iShares MSCI Emerging Markets Index Fund,EEM,3/31/08,SH,67410,3020000,0,0,0.204,,57,999999,,new,FINANCE
CQS CAYMAN LP,SESI LLC,SESI-NF,3/31/08,PRN,2500,2708000,0,0,0.183,,58,999999,,new, 
CQS CAYMAN LP,Epicor Software Corp.,EPIC,3/31/08,PRN,3000,2632000,0,0,0.1778,,59,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Enersis S.A. ADR,ENI,3/31/08,SH,144046,2522000,0,0,0.1704,,60,999999,,new,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,"TELEPHONE AND DATA SYSTEMS, IN",TDS-S,3/31/08,SH,65632,2448000,0,0,0.1654,,61,999999,,new,UNKNOWN
CQS CAYMAN LP,EnergySolutions Inc,ES,3/31/08,SH,100000,2294000,0,0,0.155,,62,999999,,new,ENERGY
CQS CAYMAN LP,"Morgan Stanley India Investment Fund, Inc.",IIF,3/31/08,SH,58890,2231000,0,0,0.1507,,63,999999,,new,FINANCE
CQS CAYMAN LP,iShares MSCI Emerging Markets Index Fund,EEM,3/31/08,PUT,6750,2171000,0,0,0.1467,,64,999999,,new,FINANCE
CQS CAYMAN LP,Merrill Lynch & Co. Inc.,MER,3/31/08,PUT,2000,1940000,0,0,0.1311,,65,999999,,new,FINANCE
CQS CAYMAN LP,KEMET Corp,KEM,3/31/08,PRN,833,1804000,0,0,0.1219,,66,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,ELEMENTS Rogers Agriculture ETN,RJA,3/31/08,SH,160000,1777000,0,0,0.1201,,67,999999,,new,MATERIALS
CQS CAYMAN LP,"Moneygram International, Inc.",MGI,3/31/08,PUT,125,1770000,0,0,0.1196,,68,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Morgan Stanley,MS,3/31/08,SH,38040,1738000,0,0,0.1174,,69,999999,,new,FINANCE
CQS CAYMAN LP,EPR Properties,EPR,3/31/08,SH,35000,1727000,0,0,0.1167,,70,999999,,new,FINANCE
CQS CAYMAN LP,S&P Select Sector SPDR Fund - Financial Sector,XLF,3/31/08,PUT,10600,1707000,0,0,0.1153,,71,999999,,new,FINANCE
CQS CAYMAN LP,Lehman Brothers Holding Co. Common Stock,LEHMQ,3/31/08,SH,44000,1656000,0,0,0.1119,,72,999999,,new,FINANCE
CQS CAYMAN LP,Steel Excel Inc,SXCL,3/31/08,SH,53446,1571000,0,0,0.1061,,73,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,iShares MSCI Emerging Markets Index Fund,EEM,3/31/08,CALL,6750,1562000,0,0,0.1055,,74,999999,,new,FINANCE
CQS CAYMAN LP,AAR Corp,AIR,3/31/08,PRN,1500,1482000,0,0,0.1001,,75,999999,,new,INDUSTRIALS
CQS CAYMAN LP,Headwaters Inc.,HW,3/31/08,PRN,2000,1471000,0,0,0.0994,,76,999999,,new,MATERIALS
CQS CAYMAN LP,Lennar Corp. Class B,LEN.B,3/31/08,SH,84425,1456000,0,0,0.0984,,77,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Health Care REIT Inc., 7.50% Series G Cumul Convertible Preferred Stock",HCN-PG,3/31/08,SH,1720,1394000,0,0,0.0942,,78,999999,,new,FINANCE
CQS CAYMAN LP,Marathon Oil Corp. (1901) (formerly U.S. Steel),MRO,3/31/08,SH,28263,1289000,0,0,0.0871,,79,999999,,new,ENERGY
CQS CAYMAN LP,Denison Mines Corp.,DNN,3/31/08,SH,150000,944000,0,0,0.0638,,80,999999,,new,MATERIALS
CQS CAYMAN LP,"XM Satellite Radio Holdings Inc, Class A",XMSR,3/31/08,SH,80000,930000,0,0,0.0628,,81,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,SunPower Corp,SPWR,3/31/08,SH,8200,611000,0,0,0.0413,,82,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Cell Genesys Inc.,CEGE,3/31/08,SH,255000,599000,0,0,0.0405,,83,999999,,new,HEALTH CARE
CQS CAYMAN LP,Parker Drilling Co.,PKD,3/31/08,PRN,500,438000,0,0,0.0296,,84,999999,,new,ENERGY
CQS CAYMAN LP,IDT Corp. Common,IDT-C,3/31/08,SH,11900,119000,0,0,0.008,,85,999999,,new,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,U.S. Bancorp (New),USB,6/30/08,PRN,140000,137711000,0,0,12.0676,,1,999999,,new,FINANCE
CQS CAYMAN LP,Omnicom Group Inc.,OMC,6/30/08,PRN,95000,95043000,105000,105590000,8.3286,7.134,2,2,-9.5238,reduction,CONSUMER DISCRETIONARY
CQS CAYMAN LP,Transocean Ltd,RIG,6/30/08,PRN,58500,66455000,42500,46459000,5.8234,3.1389,3,7,37.6471,addition,ENERGY
CQS CAYMAN LP,"Amgen, Inc.",AMGN,6/30/08,PRN,70000,60719000,70000,60914000,5.3208,4.1156,4,3,0,,HEALTH CARE
CQS CAYMAN LP,"Nextel Communications Inc., Class A",NXTL,6/30/08,PRN,46840,44498000,46840,42917000,3.8994,2.8996,5,8,0,,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Biomarin Pharmaceutical Inc.,BMRN,6/30/08,PRN,25700,40216000,20700,38913000,3.5241,2.6291,6,12,24.1546,addition,HEALTH CARE
CQS CAYMAN LP,"Boston Properties, Inc.",BXP,6/30/08,PRN,43175,39830000,44175,42042000,3.4903,2.8405,7,10,-2.2637,reduction,FINANCE
CQS CAYMAN LP,"Health Care REIT, Inc.",HCN,6/30/08,PRN,35500,37574000,52000,55923000,3.2926,3.7783,8,6,-31.7308,reduction,FINANCE
CQS CAYMAN LP,ProLogis Corp.,PLD,6/30/08,PRN,42500,37110000,32500,29372000,3.2519,1.9845,9,19,30.7692,addition,FINANCE
CQS CAYMAN LP,DDR Corp,DDR,6/30/08,PRN,40000,35300000,40000,34591000,3.0933,2.3371,10,15,0,,FINANCE
CQS CAYMAN LP,Vornado Realty Trust,VNO,6/30/08,PRN,39500,34971000,69500,59524000,3.0645,4.0216,11,5,-43.1655,reduction,FINANCE
CQS CAYMAN LP,"Vornado Realty L.P., 7.875% Public Income NotES (PINES) Due 10/1/2039",VNOD,6/30/08,PRN,37500,34756000,42500,37927000,3.0457,2.5625,12,13,-11.7647,reduction,FINANCE
CQS CAYMAN LP,"Qwest Communications International, Inc.",Q,6/30/08,PRN,30000,29415000,22500,23101000,2.5776,1.5608,13,27,33.3333,addition,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,CAL DIVE INTERNATIONAL INC COM,CDVI,6/30/08,PRN,19500,28541000,19500,23877000,2.501,1.6132,14,25,0,,ENERGY
CQS CAYMAN LP,Weingarten Realty Investors,WRI,6/30/08,PRN,28500,26642000,28500,27250000,2.3346,1.8411,15,21,0,,FINANCE
CQS CAYMAN LP,"Reinsurance Group of America, I",RGA-PA,6/30/08,SH,8773,25292000,8773,30699000,2.2163,2.0741,16,17,0,,UNKNOWN
CQS CAYMAN LP,Global Industries Ltd,GLBL,6/30/08,PRN,31950,25181000,14450,11181000,2.2066,0.7554,17,40,121.1073,addition,ENERGY
CQS CAYMAN LP,Kendle International Inc.,KNDL,6/30/08,PRN,23000,23742000,23000,26684000,2.0805,1.8029,18,22,0,,HEALTH CARE
CQS CAYMAN LP,Countrywide Financial Corp.,CFC,6/30/08,PRN,24500,23704000,35000,31150000,2.0772,2.1046,19,16,-30,reduction,FINANCE
CQS CAYMAN LP,UDR Inc.,UDR,6/30/08,PRN,24500,23471000,24500,23999000,2.0568,1.6215,20,24,0,,FINANCE
CQS CAYMAN LP,Microchip Technology Inc,MCHP,6/30/08,PRN,22500,23259000,0,0,2.0382,,21,999999,,new,INFORMATION TECHNOLOGY
CQS CAYMAN LP,"Liberty Media Group, Inc. Class B",LMC.B,6/30/08,PRN,20000,20945000,15000,14948000,1.8354,1.0099,22,31,33.3333,addition,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"BRE Properties, Inc.",BRE,6/30/08,PRN,22500,20815000,22500,20966000,1.824,1.4165,23,28,0,,FINANCE
CQS CAYMAN LP,Ford Motor Co.,F,6/30/08,PRN,26000,18752000,71000,60369000,1.6432,4.0787,24,4,-63.3803,reduction,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"National Retail Properties, Inc.",NNN,6/30/08,PRN,19000,18661000,19000,19255000,1.6353,1.3009,25,29,0,,FINANCE
CQS CAYMAN LP,"Enzon Pharmaceuticals, Inc",ENZN,6/30/08,PRN,16000,14440000,11000,12454000,1.2654,0.8414,26,34,45.4545,addition,HEALTH CARE
CQS CAYMAN LP,TW TELECOM INC CL A COM,TWTC,6/30/08,PRN,12500,13250000,13500,13995000,1.1611,0.9455,27,32,-7.4074,reduction,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,Rayonier Inc. (New),RYN,6/30/08,PRN,18000,12080000,18000,12280000,1.0586,0.8297,28,35,0,,FINANCE
CQS CAYMAN LP,Reckson Associates Realty Corp. Class B,RA,6/30/08,PRN,12500,11733000,12500,11614000,1.0282,0.7847,29,38,0,,FINANCE
CQS CAYMAN LP,Washington Real Estate Investment Trust,WRE,6/30/08,PRN,12000,10900000,12000,11210000,0.9552,0.7574,30,39,0,,FINANCE
CQS CAYMAN LP,"21st Century Fox, Inc. Class B",FOX,6/30/08,SH,667800,10044000,0,0,0.8802,,31,999999,,new,CONSUMER DISCRETIONARY
CQS CAYMAN LP,Genzyme Corp.,GENZ,6/30/08,SH,121500,8733000,57500,4286000,0.7653,0.2896,32,53,111.3043,addition,HEALTH CARE
CQS CAYMAN LP,"Tanger Factory Outlet Centers, Inc.",SKT,6/30/08,PRN,14500,7894000,14500,8374000,0.6917,0.5658,33,45,0,,FINANCE
CQS CAYMAN LP,iShares Inc. MSCI Japan Index,EWJ,6/30/08,SH,588400,7337000,0,0,0.6429,,34,999999,,new,FINANCE
CQS CAYMAN LP,Equity Residential Properties Trust,EQR,6/30/08,PRN,7500,7173000,7500,7215000,0.6286,0.4875,35,46,0,,FINANCE
CQS CAYMAN LP,GFI Group Inc,GFIG,6/30/08,SH,700000,6307000,0,0,0.5527,,36,999999,,new,FINANCE
CQS CAYMAN LP,"Kinder Morgan Management, LLC",KMR,6/30/08,SH,114477,6165000,186682,9515000,0.5402,0.6429,37,44,-38.6781,reduction,ENERGY
CQS CAYMAN LP,"Imclone Systems, Inc.",IMCL,6/30/08,PRN,6000,5725000,6000,5697000,0.5017,0.3849,38,48,0,,HEALTH CARE
CQS CAYMAN LP,EMC Corp.,EMC,6/30/08,PRN,5000,5719000,25000,29357000,0.5012,1.9835,39,20,-80,reduction,INFORMATION TECHNOLOGY
CQS CAYMAN LP,"Group 1 Automotive, Inc.",GPI,6/30/08,PRN,9000,5355000,9000,5853000,0.4693,0.3954,40,47,0,,CONSUMER DISCRETIONARY
CQS CAYMAN LP,Molson Coors Brewing Company,TAP,6/30/08,SH,89100,4841000,89100,4684000,0.4242,0.3165,41,52,0,,CONSUMER STAPLES
CQS CAYMAN LP,JPMorgan Chase & Co.,JPM,6/30/08,SH,100000,3431000,0,0,0.3007,,42,999999,,new,FINANCE
CQS CAYMAN LP,CuraGen Corp.,CRGN,6/30/08,SH,3184695,3057000,0,0,0.2679,,43,999999,,new,HEALTH CARE
CQS CAYMAN LP,"Gran Tierra Energy, Inc.",GTE,6/30/08,SH,350000,2856000,0,0,0.2503,,44,999999,,new,ENERGY
CQS CAYMAN LP,Vector Group Ltd.,VGR,6/30/08,PRN,2315,2329000,0,0,0.2041,,45,999999,,new,CONSUMER STAPLES
CQS CAYMAN LP,Epicor Software Corp.,EPIC,6/30/08,PRN,3000,2306000,3000,2632000,0.2021,0.1778,46,59,0,,INFORMATION TECHNOLOGY
CQS CAYMAN LP,EnergySolutions Inc,ES,6/30/08,SH,100000,2235000,100000,2294000,0.1959,0.155,47,62,0,,ENERGY
CQS CAYMAN LP,ELEMENTS Rogers Agriculture ETN,RJA,6/30/08,SH,155000,1883000,160000,1777000,0.165,0.1201,48,67,-3.125,reduction,MATERIALS
CQS CAYMAN LP,Amazon.com Inc.,AMZN,6/30/08,PRN,1663,1770000,3750,3961000,0.1551,0.2676,49,54,-55.6533,reduction,CONSUMER DISCRETIONARY
CQS CAYMAN LP,KEMET Corp,KEM,6/30/08,PRN,833,1690000,833,1804000,0.1481,0.1219,50,66,0,,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Allied Nevada Gold Corp,ANV,6/30/08,SH,250000,1500000,0,0,0.1314,,51,999999,,new,MATERIALS
CQS CAYMAN LP,Marathon Oil Corp. (1901) (formerly U.S. Steel),MRO,6/30/08,SH,28263,1466000,28263,1289000,0.1285,0.0871,52,79,0,,ENERGY
CQS CAYMAN LP,"Health Care REIT Inc., 7.50% Series G Cumul Convertible Preferred Stock",HCN-PG,6/30/08,SH,1720,1372000,1720,1394000,0.1202,0.0942,53,78,0,,FINANCE
CQS CAYMAN LP,Denison Mines Corp.,DNN,6/30/08,SH,150000,1317000,150000,944000,0.1154,0.0638,54,80,0,,MATERIALS
CQS CAYMAN LP,Synta Pharmaceuticals Inc,SNTA,6/30/08,SH,144802,883000,0,0,0.0774,,55,999999,,new,HEALTH CARE
CQS CAYMAN LP,Cell Genesys Inc.,CEGE,6/30/08,SH,285000,741000,255000,599000,0.0649,0.0405,56,83,11.7647,addition,HEALTH CARE
CQS CAYMAN LP,Parker Drilling Co.,PKD,6/30/08,PRN,500,506000,500,438000,0.0443,0.0296,57,84,0,,ENERGY
CQS CAYMAN LP,CV Therapeutics Inc,CVTX,6/30/08,SH,58900,485000,0,0,0.0425,,58,999999,,new,HEALTH CARE
CQS CAYMAN LP,Mosaic Company (The),MOS,6/30/08,SH,2600,376000,0,0,0.0329,,59,999999,,new,MATERIALS
CQS CAYMAN LP,Steel Excel Inc,SXCL,6/30/08,SH,7386,236000,53446,1571000,0.0207,0.1061,60,73,-86.1804,reduction,INFORMATION TECHNOLOGY
CQS CAYMAN LP,"Citigroup, Inc.",C,6/30/08,PUT,7500,220000,0,0,0.0193,,61,999999,,new,FINANCE
CQS CAYMAN LP,Accentia Biopharmaceuticals Inc,ABPI.PK,6/30/08,SH,200100,206000,0,0,0.0181,,62,999999,,new,HEALTH CARE
CQS CAYMAN LP,"Allied Waste Industries, Inc.",AW,6/30/08,PRN,0,0,3750,3451000,,0.2332,999999,56,-100,soldall,INDUSTRIALS
CQS CAYMAN LP,SESI LLC,SESI-NF,6/30/08,PRN,0,0,2500,2708000,,0.183,999999,58,-100,soldall, 
CQS CAYMAN LP,Liberty Entertainment Group,LMDIA,6/30/08,SH,0,0,421725,9548000,,0.6451,999999,43,-100,soldall,SERVICES
CQS CAYMAN LP,"Lithia Motors Inc, Class A",LAD,6/30/08,PRN,0,0,4709,3925000,,0.2652,999999,55,-100,soldall,CONSUMER DISCRETIONARY
CQS CAYMAN LP,"Liberty Global Inc., Series C",LBTYK,6/30/08,SH,0,0,980078,15916000,,1.0753,999999,30,-100,soldall,CONSUMER DISCRETIONARY
CQS CAYMAN LP,Merrill Lynch & Co. Inc.,MER,6/30/08,PUT,0,0,2000,1940000,,0.1311,999999,65,-100,soldall,FINANCE
CQS CAYMAN LP,Nabors Industries Ltd.,NBR,6/30/08,PRN,0,0,30000,30668000,,2.072,999999,18,-100,soldall,ENERGY
CQS CAYMAN LP,Morgan Stanley,MS,6/30/08,SH,0,0,38040,1738000,,0.1174,999999,69,-100,soldall,FINANCE
CQS CAYMAN LP,iShares MSCI Emerging Markets Index Fund,EEM,6/30/08,CALL,0,0,6750,1562000,,0.1055,999999,74,-100,soldall,FINANCE
CQS CAYMAN LP,S&P Select Sector SPDR Fund - Financial Sector,XLF,6/30/08,SH,0,0,447300,11115000,,0.751,999999,41,-100,soldall,FINANCE
CQS CAYMAN LP,IDT Corp. Common,IDT-C,6/30/08,SH,0,0,11900,119000,,0.008,999999,85,-100,soldall,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,Lennar Corp. Class B,LEN.B,6/30/08,SH,0,0,84425,1456000,,0.0984,999999,77,-100,soldall,CONSUMER DISCRETIONARY
CQS CAYMAN LP,EPR Properties,EPR,6/30/08,SH,0,0,35000,1727000,,0.1167,999999,70,-100,soldall,FINANCE
CQS CAYMAN LP,Cephalon Inc.,CEPH,6/30/08,PRN,0,0,8772,13197000,,0.8916,999999,33,-100,soldall,HEALTH CARE
CQS CAYMAN LP,Lehman Brothers Holding Co. Common Stock,LEHMQ,6/30/08,SH,0,0,44000,1656000,,0.1119,999999,72,-100,soldall,FINANCE
CQS CAYMAN LP,AAR Corp,AIR,6/30/08,PRN,0,0,1500,1482000,,0.1001,999999,75,-100,soldall,INDUSTRIALS
CQS CAYMAN LP,"New York Community Capital Trust V, Bifurcated Option Note Unit SecuritiES (BONUSES) Units",NYCB+U,6/30/08,SH,0,0,16412,39108000,,2.6423,999999,11,-100,soldall,FINANCE
CQS CAYMAN LP,"XM Satellite Radio Holdings Inc, Class A",XMSR,6/30/08,SH,0,0,80000,930000,,0.0628,999999,81,-100,soldall,CONSUMER DISCRETIONARY
CQS CAYMAN LP,Comcast Corp. (New) Special Class A,CMCSK,6/30/08,SH,0,0,1248949,23693000,,1.6008,999999,26,-100,soldall,CONSUMER DISCRETIONARY
CQS CAYMAN LP,Enersis S.A. ADR,ENI,6/30/08,SH,0,0,144046,2522000,,0.1704,999999,60,-100,soldall,UTILITIES & TELECOMMUNICATIONS
CQS CAYMAN LP,"Moneygram International, Inc.",MGI,6/30/08,PUT,0,0,125,1770000,,0.1196,999999,68,-100,soldall,INFORMATION TECHNOLOGY
CQS CAYMAN LP,General Mills Co.,GIS,6/30/08,PRN,0,0,84000,42100000,,2.8444,999999,9,-100,soldall,CONSUMER STAPLES
CQS CAYMAN LP,iShares MSCI Emerging Markets Index Fund,EEM,6/30/08,PUT,0,0,6750,2171000,,0.1467,999999,64,-100,soldall,FINANCE
CQS CAYMAN LP,Wells Fargo & Co. (New),WFC,6/30/08,PRN,0,0,120298,120448000,,8.1379,999999,1,-100,soldall,FINANCE
CQS CAYMAN LP,SonoSite Inc.,SONO,6/30/08,PRN,0,0,5000,5025000,,0.3395,999999,51,-100,soldall,HEALTH CARE
CQS CAYMAN LP,"Morgan Stanley India Investment Fund, Inc.",IIF,6/30/08,SH,0,0,58890,2231000,,0.1507,999999,63,-100,soldall,FINANCE
CQS CAYMAN LP,"Essex Property Trust, Inc.",ESS,6/30/08,PRN,0,0,10000,11758000,,0.7944,999999,37,-100,soldall,FINANCE
CQS CAYMAN LP,SunPower Corp,SPWR,6/30/08,SH,0,0,8200,611000,,0.0413,999999,82,-100,soldall,INFORMATION TECHNOLOGY
CQS CAYMAN LP,Headwaters Inc.,HW,6/30/08,PRN,0,0,2000,1471000,,0.0994,999999,76,-100,soldall,MATERIALS
CQS CAYMAN LP,iShares MSCI Emerging Markets Index Fund,EEM,6/30/08,SH,0,0,67410,3020000,,0.204,999999,57,-100,soldall,FINANCE
